candidate,baseline,n,diff,ci_low,ci_high,t_statistic,p_value,better_rate,aggregation
Full-GNN,MLP,11,-0.0019507214934090433,-0.005671038335012469,0.0017695953481943825,-1.1683086505488225,0.2697805191546626,0.6363636363636364,seed
Tiny-GNN,MLP,11,0.001434750903316636,-0.0012327055523125273,0.004102207358945799,1.1984541392701251,0.2583708338447884,0.45454545454545453,seed
Tiny+PINN,MLP,11,0.0012786239798523293,-0.0013890400676201296,0.003946288027324788,1.067957477352636,0.3106422019999129,0.45454545454545453,seed
Tiny-GNN,Full-GNN,11,0.003385472396725679,-2.039929247185917e-05,0.006791344085923217,2.214793529458132,0.051143728125882734,0.18181818181818182,seed
Tiny+PINN,Full-GNN,11,0.0032293454732613717,-0.00019492134464024454,0.0066536122911629875,2.101305329880838,0.061941189164016565,0.18181818181818182,seed
Tiny+PINN,Tiny-GNN,11,-0.00015612692346430687,-0.00024169384436695848,-7.056000256165526e-05,-4.065501718875085,0.002266459720625035,1.0,seed
