noise,tiny_mean,pinn_mean,improvement,better_rate,p_value,n
0.0,0.007829264371458809,0.0078215565258674,0.0009844916745316607,0.45454545454545453,0.21623279281099708,11
0.05,0.002040452044994991,0.0019460029637366817,0.04628831218551932,0.8181818181818182,0.0061740511644476775,11
0.1,0.0024098611562845458,0.0021159315960027087,0.12196949999186225,0.9090909090909091,0.004964741501384311,11
0.2,0.0037161871531692005,0.0025972514792061267,0.30109777248673675,1.0,0.002225256939197542,11
