data_fraction,model,model_label,mean_mse,median_mse,p90_mse,n,mean_val,mean_phys,mean_inf,mean_params,mean_train_s,order
0.125,MLP,MLP,0.00012823413902746588,3.8517549155123126e-05,0.0002813095828568,11,0.0001755268063107974,0.0001199158324270959,0.2630379456770077,321.0,61.57862686365049,0
0.125,FULL_GNN,Full-GNN,0.0005380204133022909,0.0003152483666288,0.0006152947635046,11,0.0006532520280586728,0.0005406004418809182,2.9504217812970057,321.0,306.09290628182697,1
0.125,TINY_GNN,Tiny-GNN,0.0043451659888738715,0.0006038513118687,0.0143146372471257,11,0.004409358638100009,0.004287606363394145,1.9359529818215047,49.0,233.3936447000041,2
0.125,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0043311463278644,0.0006038764679372,0.0142953316602161,11,0.004379976376220364,0.004271788231237664,1.9474649909924748,49.0,257.32379096364787,3
0.25,MLP,MLP,0.00011885224456595648,4.572968600335394e-05,0.0003093629872591,11,0.0001444894696021982,0.00011179435014076902,0.2514624273852943,321.0,77.47537310909419,0
0.25,FULL_GNN,Full-GNN,0.00040917346318425455,0.0003017170711862,0.0006658479676658,11,0.0004923720742622636,0.0004091966605010818,2.99772040841675,321.0,366.52460544546324,1
0.25,TINY_GNN,Tiny-GNN,0.0025436941775018908,0.0006705910687372,0.0054680928430062,11,0.0028046660292261635,0.0025201104387923366,1.9440937359944324,49.0,299.81174939090323,2
0.25,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0025236099164922363,0.000690127284635,0.0054680567108473,11,0.002756432835469173,0.002496655404378591,1.9829428270664224,49.0,339.40109455454245,3
0.5,MLP,MLP,0.00012281617500716543,6.188903820256493e-05,0.0003237689811227,11,0.00014682806722800986,0.0001148890413765061,0.24029046369502216,321.0,115.30040269090453,0
0.5,FULL_GNN,Full-GNN,0.0003526084554922727,0.0002840014421038,0.0005518422501262,11,0.0004071098038255091,0.00035200648578722726,2.992289708783739,321.0,538.4325352909251,1
0.5,TINY_GNN,Tiny-GNN,0.0022458828800226544,0.0008053670255506,0.005167662740243,11,0.0023674907563680275,0.002213482272987791,1.993733318334059,49.0,449.93937848181866,2
0.5,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0022399918630568636,0.0008140268540246,0.0051676447363175,11,0.002335902720926482,0.0022037356994518633,1.9073377909365015,49.0,532.7680667272997,3
1.0,MLP,MLP,0.006893419908984776,0.0006826819259558,0.023242215657117406,77,0.007920157171132345,0.006789286872380845,0.2443513612290275,366.7142857142857,189.1181178129951,0
1.0,FULL_GNN,Full-GNN,0.003973832093632112,0.0004806735047106,0.0022468294831430027,77,0.0037255529318480215,0.003923834904764091,2.8948311196513137,366.7142857142857,891.6325974675348,1
1.0,TINY_GNN,Tiny-GNN,0.007690943986894568,0.0008434234004491,0.02536362223642858,77,0.00835571818146397,0.0076011643816653795,1.9855671208064327,47.285714285714285,721.2295542597464,2
1.0,TINY_GNN_PINN_SELECTED,Tiny+PINN,0.0074736190875148295,0.0007486770669949,0.02535290686429424,77,0.008099542383177097,0.007379257544937786,1.9029921664569152,47.285714285714285,875.6682468766279,3
