model,model_label,mean_mse,median_mse,p90_mse,n,mean_val,mean_phys,median_phys,mean_inf,median_inf,std_inf,mean_params,mean_size_kb,mean_train_s,wins,order
MLP,MLP,0.004862384192149402,0.00022089340251045,0.00861449185482586,110,0.005590794454106741,0.004787160733061028,0.000221817976249,0.24652503653605168,0.27113395006017527,0.08829134340217752,353.0,4.1142578125,157.8181227354615,58,0
FULL_GNN,Full-GNN,0.0029116626987403596,0.0003994587466075,0.0018892578444723513,110,0.0027631604429082593,0.0028768647921517867,0.00040256163672395,2.920424973605669,3.501637699577259,0.8016536169060576,353.0,4.3517578125,745.2478229290958,23,1
TINY_GNN,Tiny-GNN,0.006297135095466038,0.00076555077569115,0.014464479143005162,110,0.006807154269394201,0.006222934974683191,0.000739546941832,1.9772749881795024,2.2774658504640684,0.6650291281100137,47.8,2.6595703125,603.175165239095,13,2
TINY_GNN_PINN_SELECTED,Tiny+PINN,0.006141008172001731,0.00071940217581495,0.013928427068137702,110,0.00661691086148557,0.006062698214963264,0.0006845586500830499,1.9158690774193805,2.2672730507911183,0.5345269499727034,47.8,2.6595703125,725.9170680381885,16,3
