candidate,baseline,n,diff,ci_low,ci_high,t_statistic,p_value,better_rate,aggregation
Full-GNN,MLP,110,-0.0019507214934090427,-0.004739549307667812,0.0008381063208497269,-1.3863410862462549,0.16847202680141177,0.34545454545454546,config
Tiny-GNN,MLP,110,0.0014347509033166357,-0.0010751265762801595,0.0039446283829134305,1.1329754815886728,0.2597105368770789,0.35454545454545455,config
Tiny+PINN,MLP,110,0.001278623979852329,-0.0012349359978062044,0.0037921839575108625,1.0082079529146912,0.31558753252454497,0.37272727272727274,config
Tiny-GNN,Full-GNN,110,0.00338547239672568,8.236679995048905e-05,0.006688577993500871,2.0313901663025438,0.04464837167252339,0.4636363636363636,config
Tiny+PINN,Full-GNN,110,0.003229345473261373,-6.979473819703451e-05,0.0065284856847197805,1.9400381101557709,0.05495868926387153,0.4818181818181818,config
Tiny+PINN,Tiny-GNN,110,-0.00015612692346430665,-0.00023977287477990384,-7.248097214870947e-05,-3.6993839116470943,0.0003404420204943377,0.5909090909090909,config
